track,problem,implementation_template,brute_force_time,optimal_time
dynamic_programming,minimum_path_sum,min_path_sum,O(2^(m+n)),O(m*n)
dynamic_programming,partition_equal_subset_sum,partition_equal,O(2^n),O(n * sum)
dynamic_programming,target_sum_ways,target_sum,O(2^n),O(n * reachable_sums)
dynamic_programming,unique_paths_grid,unique_paths,O(2^(m+n)),O(m*n)
dynamic_programming,word_break,word_break,Exponential,O(n^3) with substring construction
dynamic_programming,house_robber_circular,house_robber_circle,O(2^n),O(n)
dynamic_programming,stock_max_profit_with_cooldown,stock_cooldown,Exponential,O(n)
graphs,accounts_merge,accounts_merge,O(n^3 * emails),O(total emails alpha(n))
graphs,alien_dictionary_order,alien_order,O(C! * input_size),O(total characters + edges log C)
graphs,clone_undirected_graph,clone_graph,O(V+E),O(V+E)
graphs,course_completion_possible,course_possible,O(V+E),O(V+E)
graphs,course_ordering,course_order,O(V+E),O((V+E) log V) deterministic order
graphs,detect_cycle_undirected,undirected_cycle,O(V+E),O(E alpha(V))
graphs,graph_bipartition,bipartite,O(V+E),O(V+E)
graphs,minimum_network_cost,mst_kruskal,O(2^E * E),O(E log E)
graphs,number_of_islands,islands,O(m*n),O(m*n)
graphs,pacific_atlantic_flow,pacific_atlantic,O((m*n)^2),O(m*n)
graphs,prim_minimum_spanning_tree,mst_kruskal,O(2^E * E),O(E log E)
graphs,redundant_connection,redundant_connection,O(E*(V+E)),O(E alpha(V))
graphs,rotting_fruit_grid,rotting_oranges,O((m*n)^2),O(m*n)
graphs,shortest_path_binary_matrix,shortest_binary_matrix,Exponential worst case,O(m*n)
graphs,word_transformation_ladder,word_ladder,O(N^2 * L),O(N * L * alphabet)
graphs,zero_one_bfs_shortest_path,zero_one_bfs,O(VE),O(V+E)
graphs,connected_components,connected_components,O(V+E),O((V+E) alpha(V))
hashing,four_sum_count,four_sum_count,O(n^4),O(n^2)
hashing,group_anagrams,group_anagrams,O(n^2 * k log k),O(n*k + n log n)
hashing,repeated_fixed_length_sequence,repeated_sequence,O(n^2*k),O(n*k)
hashing,subarrays_divisible_by_k,subarrays_div_k,O(n^2),O(n)
hashing,top_k_frequent_words,top_k_words,O(n + u log u),O(n + u log k)
hashing,isomorphic_strings,isomorphic,O(n^2),O(n)
heap_and_topk,k_closest_heap_vs_quickselect,k_closest,O(n log n),O(n log k)
heap_and_topk,k_closest_points,k_closest,O(n log n),O(n log k)
heap_and_topk,kth_largest_element,kth_largest,O(n log n),O(n log k)
heap_and_topk,merge_k_sorted_lists,merge_k_lists_values,O(N log N),O(N log k)
heap_and_topk,reorganize_string,reorganize_string,Exponential,O(n log alphabet)
heap_and_topk,smallest_range_covering_lists,smallest_range_lists,O(N^3) small-input baseline,O(N log k)
heap_and_topk,streaming_median,streaming_median,O(n^2 log n),O(n log n)
heap_and_topk,streaming_topk_tracker,top_k_values,O(n log n),O(n)
heap_and_topk,task_scheduler_cooldown,task_scheduler,O(total * distinct),O(n)
heap_and_topk,top_k_frequent_values,top_k_values,O(n log n),O(n)
intervals_and_greedy,candy_distribution,candy,O(n^2) worst case,O(n)
intervals_and_greedy,employee_free_time,employee_free_time,O(N log N),O(N log k)
intervals_and_greedy,erase_overlaps,erase_overlaps,O(2^n * n log n),O(n log n)
intervals_and_greedy,gas_station_circuit,gas_station,O(n^2),O(n)
intervals_and_greedy,insert_one_interval,insert_interval,O(n log n),O(n)
intervals_and_greedy,jump_game_ii,jump_game_ii,Exponential,O(n)
intervals_and_greedy,jump_game_reachability,jump_game,Exponential,O(n)
intervals_and_greedy,meeting_rooms_possible,meeting_rooms,O(n^2),O(n log n)
intervals_and_greedy,merge_overlapping_intervals,merge_intervals,O(n^3),O(n log n)
intervals_and_greedy,minimum_arrows_for_balloons,min_arrows,Exponential (small integer coordinates),O(n log n)
intervals_and_greedy,minimum_meeting_rooms,min_meeting_rooms,O(n^2 * range),O(n log n)
intervals_and_greedy,partition_labels,partition_labels,O(2^n * n),O(n)
linked_lists,copy_list_with_random_pointer,copy_random_list,O(n),O(n)
linked_lists,cycle_entry_node,cycle_entry,O(n),O(n)
linked_lists,linked_list_cycle_detection,cycle_detection,O(n),O(n)
linked_lists,lru_cache_design,lru_cache,O(n) per operation,O(1) average
linked_lists,merge_two_sorted_lists,merge_lists,O((n+m) log(n+m)),O(n+m)
linked_lists,remove_nth_from_end,remove_nth,O(n),O(n)
linked_lists,reorder_list_alternating_ends,reorder_list,O(n),O(n)
linked_lists,reverse_singly_linked_list,reverse_list,O(n),O(n)
linked_lists,sort_linked_list,sort_list,O(n log n) + O(n) space,O(n log n)
linked_lists,add_two_numbers,add_two_numbers,O(n) but integer-width limited,O(n)
prefix_sum,ceiling_division_feasibility,ceiling_feasibility,O(total/capacity),O(n)
prefix_sum,overflow_safe_arithmetic,overflow_safe,O(1),O(1)
prefix_sum,range_addition,range_addition,O(n * updates),O(n + updates)
prefix_sum,two_d_range_sum_query,range_sum_2d,O(queries * area),O(m*n + queries)
prefix_sum,pivot_index,pivot_index,O(n^2),O(n)
prefix_sum,continuous_subarray_sum,continuous_subarray_sum,O(n^2),O(n)
sliding_window,character_replacement_window,char_replacement,O(n^2),O(n)
sliding_window,find_all_anagrams,anagram_indices,O(n*m log m),O(n)
sliding_window,longest_unique_character_window,longest_unique,O(n^2),O(n)
sliding_window,minimum_covering_window,min_window,O(n^3 + alphabet),O(n + alphabet)
sliding_window,minimum_size_subarray_sum,min_size_subarray,O(n^2),O(n)
sliding_window,permutation_inside_string,permutation_in_string,O(n*m log m),O(n)
sliding_window,sliding_window_maximum,sliding_max,O(nk),O(n)
sliding_window,max_consecutive_ones_with_flips,max_ones_flips,O(n^2),O(n)
sorting_and_bits,count_array_inversions,inversion_count,O(n^2),O(n log n)
sorting_and_bits,implement_merge_sort,merge_sort,O(n^2),O(n log n)
sorting_and_bits,missing_number_by_xor,missing_number_xor,O(n^2),O(n)
sorting_and_bits,quickselect_kth_statistic,quickselect,O(n log n),O(n) average
sorting_and_bits,reverse_integer_bits,reverse_bits,O(32),O(32)
sorting_and_bits,search_sorted_2d_matrix,matrix_search,O(m*n),O(log(m*n))
sorting_and_bits,single_non_repeated_value,single_number,O(n^2),O(n)
sorting_and_bits,sum_without_plus,sum_without_plus,O(1),O(word bits)
sorting_and_bits,count_set_bits,count_bits,O(32),O(set bits)
sorting_and_bits,sort_by_bit_count,sort_by_bits,O(n log n * word_bits),O(n log n)
stack_and_queue,daily_warmer_temperature,daily_temps,O(n^2),O(n)
stack_and_queue,evaluate_reverse_polish,rpn,O(n^2),O(n)
stack_and_queue,largest_histogram_rectangle,histogram,O(n^2),O(n)
stack_and_queue,min_stack,min_stack,O(n) getMin,O(1) all
stack_and_queue,queue_using_two_stacks,queue_two_stacks,O(n) pop,O(1) amortized
stack_and_queue,stack_using_queues,stack_queues,O(1) using deque baseline,"O(n) push, O(1) pop"
stack_and_queue,valid_bracket_sequence,valid_brackets,O(n^2) worst,O(n)
stack_and_queue,next_greater_element,next_greater,O(n^2),O(n)
trees_and_bst,all_root_to_leaf_paths,root_leaf_paths,O(n*h),O(n)
trees_and_bst,balanced_tree_check,balanced_tree,O(n^2),O(n)
trees_and_bst,binary_tree_maximum_path_sum,max_path_sum_tree,O(n),O(n)
trees_and_bst,binary_tree_right_side_view,right_view,O(n),O(n)
trees_and_bst,build_tree_from_traversals,build_tree_traversals,O(n^2),O(n)
trees_and_bst,flatten_binary_tree,flatten_tree,O(n),O(n)
trees_and_bst,inorder_successor,inorder_successor,O(n),O(height)
trees_and_bst,kth_smallest_in_bst,kth_bst,O(n log n),O(h+k)
trees_and_bst,level_order_traversal,level_order,O(n),O(n)
trees_and_bst,lowest_common_ancestor,lca_bst,O(n),O(height)
trees_and_bst,maximum_tree_depth,tree_max_depth,O(n),O(n)
trees_and_bst,path_sum_exists,path_sum,O(n),O(n)
trees_and_bst,serialize_deserialize_binary_tree,serialize_tree,O(n),O(n)
trees_and_bst,sorted_array_to_balanced_bst,sorted_to_bst,O(n),O(n)
trees_and_bst,subtree_check,subtree,O(n*m),O(n+m) expected string search implementation dependent
trees_and_bst,validate_binary_search_tree,validate_bst,O(n),O(n)
trees_and_bst,invert_binary_tree,invert_tree,O(n),O(n)
two_pointers,container_with_maximum_water,container_water,O(n^2),O(n)
two_pointers,trapping_rain_water,trap_rain,O(n^2),O(n)
two_pointers,valid_palindrome,valid_palindrome,O(n),O(n)
two_pointers,two_sum_sorted,two_sum_sorted,O(n^2),O(n)
two_pointers,three_sum_closest,three_sum_closest,O(n^3),O(n^2)
two_pointers,remove_duplicates_sorted_array,remove_duplicates_sorted,O(n^2),O(n)
